글제목,댓글수,작성자명,등록날짜시각,조횟수,추천수,반댓수
요즘 고음 연습하고있는데 평가 좀 해주세용!!,105,박다혜,2020-06-29 04:58,"26,491",241,5
남자친구랑 헤어진 다양한 이유 .jpg,42,희희짠,2020-06-29 04:58,"43,063",238,1
상상 가능한 진상은 진짜 진상이 아니다.jpg,22,태랑 ,2020-06-29 04:51,"30,997",427,0
모델비율 걸그룹 사이에 청하가 끼면.jpg,20,불쾌맨,2020-06-29 04:28,"58,571",752,0
흥선대원군 본명이 뭐가 어쨌다고 그래,24,아조씨와비밀친구,2020-06-29 04:15,"32,762",370,0
상어 수영복.jpg,19,메멜 ,2020-06-29 03:53,"47,668",360,0
파맛첵스 근황.jpg,37,용드,2020-06-29 03:46,"47,033",519,0
드레곤이 햄버거 먹는.manhwa,31,불쾌맨,2020-06-29 03:41,"21,458",248,1
(약후) 호불호 갈리는 아버지 이름.jpg,14,기룡,2020-06-29 03:40,"45,180",511,1
이맘때쯤 다시 보는 대륙의 워터파크gif,30,앵쯔o,2020-06-29 03:29,"39,898",405,0
모발이식했는데 뒤지게 아프다 ㅅㅂ..,46,뜨거운두부 ,2020-06-29 03:23,"31,954",324,0
국산 아동애니 신작 발표.jpg,48,태랑 ,2020-06-29 03:18,"34,931",284,0
온라인 수업의 현실 .jpg,18,희희짠,2020-06-29 03:12,"41,037",331,0
런닝맨 초능력 대결 중 지나가는 시민.mp4,21,유도희o ,2020-06-29 03:08,"37,762",572,0
여자 둘이서 고래! 게임 하는 만화.Manhwa,6,정학걸스데이체고시다,2020-06-29 02:58,"21,856",302,0
과연 얼굴이 못생겨서 여자를 못 사귀는 걸까?.JPG,125,한형,2020-06-29 02:53,"34,645",462,3
좆기�� 중력 100배 체험 시켜줌 ㅋㅋㅋㅋ,16,야생의숨결,2020-06-29 02:47,"38,553",345,0
"조선시대 주막, 12만개 있었다.jpg",49,아오치,2020-06-29 02:33,"41,288",593,0
끔찍한 룸메 암살법.jpg,8,용드,2020-06-29 02:30,"46,428",557,0
??? : 꼬우면 직접 잡아서 드세요.jpg,53,Spinus,2020-06-29 02:23,"33,069",257,0
낼 입소하는데 합성점여,24,최hoo족point,2020-06-29 02:20,"31,263",319,0
굉장히 화끈한 불호의 몸매.jpg,17,Spinus,2020-06-29 02:13,"38,720",189,0
여고생이 임산부석에 앉으려는.manhwa,17,흠트레스팅,2020-06-29 02:09,"35,054",543,9
연어회.jpg,42,Spinus,2020-06-29 02:08,"29,088",302,0
나도 웃자 가볼래,44,직지신체요절단,2020-06-29 02:08,"9,520",88,1
누나 선풍기 페티쉬 있어.JPG,9,차세대기린아,2020-06-29 02:06,"40,565",366,0
내가 본 역대급 속시원한 모기갤러리 글.gif,18,9탄만줍는놈,2020-06-29 02:00,"29,485",299,0
끔찍한 기증사례.jpg,56,태랑 ,2020-06-29 01:50,"54,705",963,0
양준혁이 결혼 전 정리해야 하는 것,35,냐용이양,2020-06-29 01:46,"44,363",544,0
언니의 술버릇.JPG,12,안수정,2020-06-29 01:38,"37,043",369,0
차량털이범 결국 제가 잡았습니다,29,동물좋아,2020-06-29 01:35,"29,402",336,0
형한테 유전자 몰빵당한 디씨인 .jpg,19,희희짠,2020-06-29 01:34,"39,285",243,0
죽어도 의대에 가겠다는 5수생 딸.JPG,100,한형,2020-06-29 01:14,"49,796",597,0
드레이븐주의)호불호 개 극심하게 갈리는 말투.jpg,89,코없는코끼리,2020-06-29 01:13,"42,049",606,0
헬스장 로고만들려고 하는데 도와주세요 수정후 글씀,47,송추낙지달려,2020-06-29 01:06,"22,777",170,8
고양이를 돌보는 원숭이.jpg,27,박다혜,2020-06-29 00:58,"25,397",207,0
10살짜리 여자애한테 고백하는 만화.Manhwa,18,정학걸스데이체고시다,2020-06-29 00:58,"25,056",405,0
트럼프 도게자 만화 근황.jpg,14,용드,2020-06-29 00:57,"21,797",264,0
월세 55만원 제주도 7평 원룸.jpg,83,태랑 ,2020-06-29 00:54,"47,434",442,0
벗으면 반하겠어! .manhwa,22,흠트레스팅,2020-06-29 00:41,"27,887",334,0
딸방에서 마약을 발견한 어머님.jpg,24,재담꾼,2020-06-29 00:36,"37,183",330,0
비의 패션 흑역사.mp4,16,유도희o ,2020-06-29 00:34,"37,218",432,0
조폭이 아이돌 되는 만화.Manhwa,19,정학걸스데이체고시다,2020-06-29 00:32,"27,050",347,0
해장국집 고양이,35,amalarva,2020-06-29 00:23,"25,485",185,1
강호동과의 첫 술자리에서 추방 당한 박영진.jpg,17,유도희o ,2020-06-29 00:15,"36,802",387,0
항해 하다가 빙산 보면 무조건 피해야하는 이유.JPG,25,안수정,2020-06-29 00:04,"40,653",389,0
“강호동이랑 싸우면 이긴다.” 정찬성 발언 비하인드,26,n년째다이어트,2020-06-29 00:04,"44,516",722,0
웃대 시스템중에 약간 오해 부를만한게,42,팬아메리칸항공,2020-06-29 00:04,"23,776",420,0
왕따 당하던 때 기억에 남는 선생님 .jpg,20,희희짠,2020-06-28 23:58,"30,204",255,0
햄버거 좋아하냐,25,쿵포,2020-06-28 23:55,"23,367",225,2
지면 죽는 사형수 야구팀.jpg,28,유도희o ,2020-06-28 23:51,"52,132",727,0
선풍기로 에어컨 효과 내는 법.JPG,23,나의비밀정원,2020-06-28 23:44,"39,860",525,0
해외에서 발견된 크림치즈,14,후추추추,2020-06-28 23:43,"41,127",460,0
선풍기로 더위 나던 그 시절 지하철.jpg,23,박다혜,2020-06-28 23:35,"29,402",229,1
여친이 전여친에 대해 물어볼 때의 올바른 대처법.jpg,73,흠트레스팅,2020-06-28 23:32,"86,573",1306,0
스마트선풍기의 장점.JPG,9,안수정,2020-06-28 23:30,"42,096",462,0
추운날 햄찌가 밥 먹는 방법.JPG,16,안수정,2020-06-28 23:28,"34,178",395,0
외계인 시점에서 본 인류.JPG,51,kurase,2020-06-28 23:19,"42,072",399,0
애니프사가 말하는 군대 명언 .jpg,56,희희짠,2020-06-28 23:19,"34,789",354,0
어제 투신하는 사람을 봤는데.. 잘 잊혀지지가 않는다;,46,돌프냐,2020-06-28 23:13,"32,633",486,1
얼굴 이쁜거? 다 한때 뿐입니다 . JPG,31,용드,2020-06-28 23:12,"39,754",265,0
아즈텍에 대한 주변 부족들이 마음,38,후추추추,2020-06-28 23:02,"34,167",391,1
"의정부의 명물, 천보산 폭포를 아시나요?.gif",25,초코맛된장 ,2020-06-28 22:59,"34,571",284,0
흡연자의 애환.jpg,38,닥스환트,2020-06-28 22:59,"33,782",375,1
""" 곧 있으면 집사가 분유를 가져올 겁니다..! """,15,용드,2020-06-28 22:52,"30,226",479,0
빙그레 SNS 마케팅 근황,64,용드,2020-06-28 22:50,"79,614",1019,0
한국인이 또 게임 신기록 세움 .jpg,21,희희짠,2020-06-28 22:39,"54,684",465,0
거쳐간 반려견이 50마리라는 지상렬 .jpg,37,희희짠,2020-06-28 22:37,"48,863",861,1
그라브락스 숙성 연어.jpg,34,Spinus,2020-06-28 22:37,"33,941",272,0
내게 등을 보이다니 무르구나 집사!! .jpgg,18,스푸키o ,2020-06-28 22:35,"36,925",324,0
성희롱 사건으로 인사과에 불려내려온 물리학자 . JPG,61,한형,2020-06-28 22:31,"59,649",661,0
상급닌자 테스트 목검 피하기.mp4,42,박다혜,2020-06-28 22:27,"53,206",538,0
애드라 나 생..ㅇ리,23,귀여운여자아이,2020-06-28 22:21,"17,069",121,0
주당계 퇴물이 된 지상렬 .jpg,22,희희짠,2020-06-28 22:11,"40,644",416,0
그리핀도르 기숙사의 숨겨진 체스 챔피언 론위즐리 . JPG,23,용드,2020-06-28 22:10,"31,632",474,0
가게 앞 동백나무 훔쳐간 사람 참교육 어떻게 시켜야할까요,68,이게나라냐옹,2020-06-28 22:10,"45,265",812,0
애기들을 지키는 동물들.GIF,29,안수정,2020-06-28 22:07,"31,237",233,1
추성훈 딸 근력 근황.jpg,48,박다혜,2020-06-28 22:01,"48,523",334,0
99%가 모르는 아일랜드 문화.gif,26,용드,2020-06-28 22:00,"75,306",885,0
오빠 오늘 나 피부 깨끗해?의 이과식 답변,39,후추추추,2020-06-28 21:58,"55,101",726,0
어느 용감한 군인의 유언 .jpgg,14,스푸키o ,2020-06-28 21:58,"29,079",400,0
레바가 군생활 시절 겪은 실화.JPG,36,joey3434,2020-06-28 21:50,"43,749",693,0
블랙핑크 신곡 뮤직비디오 세계신기록,106,파란색오징어젖갈,2020-06-28 21:47,"39,593",465,4
어제 감자 캤더니 죽것당.,23,중국발코로나,2020-06-28 21:45,"27,107",254,0
말수가 적은 아내 만화.Manhwa,34,정학걸스데이체고시다,2020-06-28 21:40,"35,046",504,0
산 이름 진짜 대충지은듯,65,태랑 ,2020-06-28 21:31,"64,449",729,0
영화에서 가장 무서운 음식,45,탄피쨩,2020-06-28 21:30,"61,990",915,0
탕수육이 1시간이 넘게 왜 안와!!!!!,20,용드,2020-06-28 21:27,"69,305",1030,0
외국인들이 한국 와서 배운것 .jpg,34,희희짠,2020-06-28 21:25,"37,788",349,1
"""한국인은 정도껏을 모르나"" 를 외쳤던 일본인 후기 . JPG",47,한형,2020-06-28 21:25,"83,700",986,1
고래 실제 크기 체감짤gif,56,앵쯔o,2020-06-28 21:22,"44,717",504,0
유튜브로 한국을 염탐하는 브라질인들.jpg,24,유도희o ,2020-06-28 21:20,"39,405",458,0
22살 고졸 7급 합격 인증샷..jpg,25,용드,2020-06-28 21:17,"57,653",757,1
수신료의 가치,10,알바충,2020-06-28 21:15,"32,584",340,0
옷입혔다고 삐진 애옹이,33,쉑빡따뚜루켄,2020-06-28 21:07,"27,435",271,0
찝쩍이 뭔데 인싸쉑들아.jpg,21,Spinus,2020-06-28 20:58,"29,093",291,0
인터넷에서 유행했던 병맛송 & 약빤 노래 TOP 30,70,랭킹빌런즐사마,2020-06-28 20:52,"26,283",260,1
남편이 자주 가는 사이트,55,변경이불가함,2020-06-28 20:50,"88,610",1199,0
톰과제리성인버전.gif,21,차세대기린아,2020-06-28 20:47,"36,492",343,1
외국 컴퓨터 빌런.jpg,31,죽어도못박아,2020-06-28 20:45,"41,698",462,0
어머니가 시각장애인이라 좋다는 아들. JPG,20,용드,2020-06-28 20:39,"44,600",674,0
삼양의 암살 행위.jpg,12,Spinus,2020-06-28 20:35,"46,497",471,0
"집 근처 광산에서 캐낸 돌 두덩이 가격 40억, 돈벼락 맞은 광부",35,가족같은분위기,2020-06-28 20:30,"38,014",548,0
(빛 주의)페이커님 사인 받았다..,38,Btles,2020-06-28 20:22,"30,125",479,0
퇴직한 직원 상담해주는 대표.jyp,27,불쾌맨,2020-06-28 20:18,"56,236",706,0
날개없는 선풍기 단점.jpg,35,박다혜,2020-06-28 20:13,"44,899",424,0
냉부해가 종영한 이유.jpg,46,유도희o ,2020-06-28 20:11,"83,833",1160,0
이만기 유전자의 힘.JPG,52,나의비밀정원,2020-06-28 20:10,"97,509",1202,0
혐오 표현 금지법을 반대하는 미국 전문가,116,있냐없냐,2020-06-28 20:07,"34,431",300,3
이탈리아에서 파는 한국산 일본식 소멘.JPG,26,한형,2020-06-28 20:06,"41,414",450,0
요즘 고3 근황. jyp,54,카악퉤에,2020-06-28 20:00,"63,374",721,0
어느 트위터인의 파맛첵스 후기 .jpgg,21,스푸키o ,2020-06-28 19:57,"36,993",454,0
누나한테 받은건데,36,평범한귀염둥이,2020-06-28 19:55,"40,447",343,0
19) 비비빅을 입으로만 먹어야하는 이유.dc,41,Spinus,2020-06-28 19:53,"65,480",776,0
절대 아무도 의심하지 않을 비밀조직 이름,26,용드,2020-06-28 19:50,"42,305",633,0
연변의 PC방.jpg,46,Spinus,2020-06-28 19:39,"51,717",643,0
어떤 아이돌의 갤럭시 플립 사용법.GIF,28,나의비밀정원,2020-06-28 19:39,"48,692",544,0
이국종 교수가 간호대학에서 받은 민원.JPG,186,공수기본교육,2020-06-28 19:39,"53,430",929,1
ㅇㅎ) 촬영 인증 레전드,30,오븐치킨,2020-06-28 19:37,"64,794",713,0
소확행의 진정한 뜻,11,용드,2020-06-28 19:32,"37,621",560,0
라오어2 제작자 닐드럭만 근황.mp4,49,유메린,2020-06-28 19:29,"29,895",376,0
상남자식 섹스 거절법.jpg,35,태랑 ,2020-06-28 19:17,"60,185",645,0
일본놈들 전투기 작명센스 클라쓰 ㅋㅋ,50,인터넷좆문가,2020-06-28 19:05,"38,573",423,3
의외로 합성이라고 여겨지는 코끼리 사진.jpg,18,프렌치키스으,2020-06-28 19:05,"48,280",500,0
여자친구집에서 오줌싸려고 변기커버를 들었더니,41,용드,2020-06-28 19:02,"90,243",1185,0
유튜브로 한국의 현실을 알게된 브라질.jpg,26,용드,2020-06-28 19:01,"54,184",733,0
얘두라 나 클레이 했는데 투표 다시 해쥬라,31,너와함께미치도록,2020-06-28 19:00,"18,865",286,0
2대 호카게 ㄹㅇ꼴잘알이다,26,천국으로가는S홀,2020-06-28 18:58,"34,054",266,2
의자에 똥 지렸습니다.,61,안보면지상렬,2020-06-28 18:54,"39,445",441,8
소방관들의 직업정신,25,소방체육,2020-06-28 18:48,"36,735",442,0
아깽이 입양하는 엄마고양이.gif,20,박다혜,2020-06-28 18:47,"28,790",315,0
꺼무위키보고 화난 디시의 명예 일본인.JPG,10,유도희o ,2020-06-28 18:46,"31,242",392,0
남친이 너무너무 잘 느껴서 행복해요.,17,용드,2020-06-28 18:45,"55,678",692,1
저기 팔뚝 쩌는 남자 누구임?,13,오븐치킨,2020-06-28 18:45,"52,497",648,0
톰과 제리에 나오는 그 스테이크 굽기.GIF,33,안수정,2020-06-28 18:37,"38,264",343,1
mc몽 쉴더들 이해가 안간다,70,돈까스미식가,2020-06-28 18:25,"31,954",403,1
집사야 오늘따라 손놀림이 좋구나,12,유도희o ,2020-06-28 18:18,"27,661",337,0
안젤리나 졸리처럼 볼륨있는 입술 만드는 법,24,팅탱탱,2020-06-28 18:17,"41,018",389,0
겨드랑이 냄새의 장점.JPG,31,안수정,2020-06-28 18:14,"52,482",494,1
공직선거법 위반 신고해야겠죠?,18,5초찍,2020-06-28 18:12,"28,643",385,0
유쾌한 회사 팀장님의 결제서류 싸인.jpg,16,용드,2020-06-28 18:05,"43,331",643,1
[上편] 웃긴대학 주간답글Best! [20.02.10~20.02.16],10,한형,2020-06-28 17:58,"18,346",257,1
토익 만점 받는 법ㄷㄷ,19,LaLaLand,2020-06-28 17:53,"46,865",667,0
흰수염이 복싱을 배웠다면...JPG,59,흠트레스팅,2020-06-28 17:50,"61,191",623,1
20년 넘게 깔짝대는 친오빠.GIF,24,아꾸,2020-06-28 17:50,"44,068",520,0
연예인이 이쁘긴 하구나,51,셸비,2020-06-28 17:49,"67,162",899,1
얘들아 나 생일이래,34,내위장속에지우개,2020-06-28 17:47,"10,876",96,0
역수입) 치과갔다가 결혼까지 생각함.jpg,15,용드,2020-06-28 17:39,"46,865",715,0
어른이 되면 맥주를 맛있게 느끼게된다를 믿고 10년간 참고 마셔온 감상.jpg,95,용드,2020-06-28 17:38,"37,659",510,0
[下편] 웃긴대학 주간답글Best! [20.02.10~20.02.16],15,한형,2020-06-28 17:35,"15,695",230,0
(약후) 호불호 갈리는 냉방기구.jpg,28,Spinus,2020-06-28 17:31,"37,922",234,0
고모부가 자꾸 개소리하다가 가족들한테 뚜까맞던 썰,19,용드,2020-06-28 17:29,"28,353",338,0
친구처럼 재밌게 사시는 부부.jpg,22,유도희o ,2020-06-28 17:14,"44,513",546,0
28살 외국 처자 ㅗㅜㅑ.news,21,셸비,2020-06-28 17:12,"58,798",633,0
불법주차 참교육 시키기.jpg,16,유메린,2020-06-28 17:06,"35,345",436,0
동족을 먹는 고앵이.jpg,11,기룡,2020-06-28 16:55,"30,663",282,0
카트라이더 만화 급발진.jpg,11,박다혜,2020-06-28 16:51,"28,939",297,0
유명한 누나들이 좋아요 달아주는 금손 유튜버.jpg,17,재담꾼,2020-06-28 16:51,"47,242",543,0
대식가 대식이의 인생.Manhwa,20,이쁘게말하자 ,2020-06-28 16:48,"27,561",382,3
가장 성공한 오타쿠 문화,36,용드,2020-06-28 16:35,"53,017",841,1
서울대 의대에도 있는 학생 유형.jpg,76,유도희o ,2020-06-28 16:34,"74,800",974,0
와 쏘는거 처음봄ㅋㅋㅋㅋ.gif,23,닭다리2조각,2020-06-28 16:29,"37,290",354,1
차 있는 사람 공감.manhwa,32,한형,2020-06-28 16:23,"30,469",268,0
지금 논란중인 지드래곤 개 방치,66,오노우돈두댓,2020-06-28 16:19,"53,363",629,2
아빠가 학교선생 참교육 했던 썰,55,용드,2020-06-28 16:18,"41,434",852,0
팬싸인회에서 사나를 삐지게한 유튜버,30,회원이아님,2020-06-28 16:15,"41,502",545,5
어부를 사랑한 상어.manhwa,26,메멜 ,2020-06-28 16:08,"31,244",291,0
주작없는 진짜 생활의 달인,43,불쾌맨,2020-06-28 16:08,"40,907",349,0
진짜광기라는 반응나온 그알pd.jpgif,45,유도희o ,2020-06-28 16:02,"93,757",1379,0
"신축빌라 실입주금 0원, 몸만 오세요.jpg",58,Spinus,2020-06-28 16:00,"46,747",602,0
미국 역사 5줄 요약.png,22,용드,2020-06-28 16:00,"31,641",395,0
귀신들린 자판기 만화.manhwa,12,스푸키o ,2020-06-28 15:57,"24,458",324,0
전설의 미디움 레어.jpg,36,고기굽는남자,2020-06-28 15:51,"79,672",1102,0
"어제 4시간 산책했더니,,",67,발가락10개,2020-06-28 15:50,"36,688",381,5
드디어 애니화된 대작,19,Clcl228,2020-06-28 15:49,"29,104",375,0
쿠키런 근황,39,람쥐싼닷,2020-06-28 15:47,"33,407",431,0
약후) 화상채팅 레전드,10,불쾌맨,2020-06-28 15:38,"46,228",482,0
세계 최초 예뻐서 무죄.jpg,64,흠트레스팅,2020-06-28 15:33,"102,034",1283,0
전직 전국구 조폭 vs 프로 격투가 .jpg,22,희희짠,2020-06-28 15:27,"42,593",455,0
내년에 일본이 ■■행위 시도할 예정,25,용드,2020-06-28 15:26,"38,122",502,0
100만 달러vs100만 달러를 버는 방법.JPG,19,여우o코코,2020-06-28 15:24,"38,506",447,0
호불호 갈리는 음식 no.1.jpg,65,박다혜,2020-06-28 15:22,"40,025",334,0
IT업계가 돌아가는 원리.manhwa,29,불쾌맨,2020-06-28 15:18,"34,265",409,0
만일 해리포터가 여자였다면.JPG,32,한형,2020-06-28 15:15,"45,753",778,0
몬가 이상한 동화.manhwa,17,용드,2020-06-28 15:13,"23,182",411,0
공포의 한국사 암기방법 .jpg,31,희희짠,2020-06-28 15:10,"36,183",415,1
게임하다 물건살때 제일 빡치는 유형,23,용드,2020-06-28 15:09,"32,111",474,0
전갈과 전쟁중인 브라질.JPG,65,유도희o ,2020-06-28 15:02,"78,682",1174,0
물건을 잘 버리지 못해서 04년 베컴 폰을 아직도 쓴다는 지상렬.JPG,13,아꾸,2020-06-28 14:57,"35,355",474,0
풍년이라는 오징어 싸게 먹는법.jpg,44,유메린,2020-06-28 14:54,"38,491",517,0
편의점 알바생이 본 츤데레 여중생 . JPG,20,용드,2020-06-28 14:54,"40,447",611,0
고통받는 햄스터,23,후추추추,2020-06-28 14:52,"30,803",341,0
개그 콘서트 최다 출연 개그맨.jpg,11,유도희o ,2020-06-28 14:51,"40,317",575,0
불과 11광년 떨어진 곳에 생명체 있을지도.jpg,181,박다혜,2020-06-28 14:40,"42,703",682,0
잉간은 기여운걸 조와한다.jpg,10,기룡,2020-06-28 14:39,"37,642",544,0
악명높기로 소문난 미 해군 특수부대 네이비씰 양성 사진 jpg,33,멧돼지의꿈,2020-06-28 14:39,"34,068",332,0
현재 도르트문트 상황.jpg,25,박다혜,2020-06-28 14:36,"29,233",331,0
여포 필리핀 대통령.jpg,68,유도희o ,2020-06-28 14:29,"62,212",999,1
특이점이 온 일본 선풍기.gif,27,박다혜,2020-06-28 14:27,"37,902",362,0
늑대를 만나면 피해야되는 이유를 알아보자.,31,앵쯔o,2020-06-28 14:22,"34,835",373,0
학생의 과제 제출에 당황한 교수님 .jpg,24,희희짠,2020-06-28 14:22,"38,909",566,0
